,Date,Year,Country,Sex,Injury,Fatal,ACTIVITY,AGE
3236,09-Mar-1975,1975,SOUTH AFRICA,M,Left leg bitten  PROVOKED INCIDENT,N,attempting,0
3237,Mar-1975,1975,BANGLADESH,0,"FATAL, of 190 passengers & crew thrown into the water, 50 people were said to have been killed by sharks",Y,0,0
3238,23-Feb-1975,1975,SOUTH AFRICA,M,Foot severed,N,surfing,16
3239,Reported 14-Feb-1975,1975,SOUTH AFRICA,0,Shark bit rudder & hull,N,0,0
3240,10-Feb-1975,1975,AUSTRALIA,M,Right leg  severed FATAL,Y,swimming,12
3241,09-Feb-1975,1975,AUSTRALIA,M,Puncture wounds to right shoulder,N,crayfishing,45
3242,07-Feb-1975,1975,AUSTRALIA,M,Survived,N,0,0
3243,01-Feb-1975,1975,SOUTH AFRICA,M,Foot bitten by shark he was gaffing  PROVOKED INCIDENT,N,fishing,12
3244,19-Jan-1975,1975,AUSTRALIA,M,"FATAL, body not recovered",Y,surfing,17
3245,1975,1975,BERMUDA,M,Laceration to right ankle,N,spearfishing,25
3246,1975,1975,REUNION,M,FATAL,Y,0,0
3247,12-Dec-1974,1974,AUSTRALIA,0,Survived,N,0,32
3248,01-Nov-1974,1974,USA,M,Laceration to foot,N,standing,24
3249,28-Sep-1974,1974,USA,M,"Thigh, lower back and surfboard bitten",N,surfing,17
3250,14-Sep-1974,1974,USA,M,Major injuries,N,diving,29
3251,07-Sep-1974,1974,ISRAEL,F,"Bitten 12 times: multiple lacerations on hands, arms, shoulder breast thigh, both legs, left forearm surgically amputated ",N,swimming,20
3252,02-Sep-1974,1974,USA,M,Minor injuries to hand,N,diving,41
3253,02-Sep-1974,1974,USA,M,Minor bite on foot & swimfin,N,diving,48
3254,01-Sep-1974,1974,AUSTRALIA,M,"Missing, believed taken by a shark",N,fishing,30
3255,Sep-1974,1974,USA,M,No injury,N,surfing,24
3256,23-Aug-1974,1974,HONG KONG,M,Survived,N,swimming,22
3257,16-Aug-1974,1974,HONG KONG,M,FATAL,Y,swimming,0
3258,16-Aug-1974,1974,HONG KONG,M,Arm broken & severely lacerated,N,swimming,19
3259,16-Aug-1974,1974,HONG KONG,M,Left foot bitten,N,swimming,18
3260,10-Aug-1974,1974,CROATIA,M,Foot severed FATAL,Y,0,21
3261,05-Aug-1974,1974,USA,M,Minor injuries to hand,N,surfing,0
3262,26-Jul-1974,1974,USA,M,Minor bite on heel & swim fin bitten,N,diving,36
3263,20-Jul-1974,1974,USA,M,FATAL,Y,swimming,17
3264,02-Jul-1974,1974,USA,M,Arm bitten FATAL,Y,sinking,10
3265,20-Jun-1974,1974,USA,F,Lacerations to hip and leg,N,swimming,61
3266,26-May-1974,1974,USA,M,Leg bitten,N,diving,45
3267,Reported 25-Apr-1974,1974,BRAZIL,M,FATAL,Y,fishing,0
3268,20-Apr-1974,1974,SOUTH AFRICA,M,Left knee lacerated,N,spearfishing,22
3269,14-Apr-1974,1974,SOUTH AFRICA,M,Lower right leg lacerated,N,standing,19
3270,12-Apr-1974,1974,USA,F,Foot bitten,N,swimming,11
3271,04-Apr-1974,1974,SOUTH AFRICA,M,Right foot lacerated,N,surfing,17
3272,21-Mar-1974,1974,SOUTH AFRICA,M,"No injury, surfboard bitten",N,surfing,21
3273,Mar-1974,1974,SOUTH AFRICA,0,"No injury to occupant, shark holed boat",N,fishing,0
3274,13-Feb-1974,1974,SOUTH AFRICA,M,"Right calf removed, leg surgically amputated below the knee",N,swimming,14
3275,13-Feb-1974,1974,SOUTH AFRICA,M,Right shin lacerated,N,swimming,19
3276,Feb-1974,1974,SOUTH AFRICA,0,"No injury to occupant, but  a shark chasing a hooked fish holed his boat above the waterline",N,fishing,0
3277,Early Feb-1974,1974,SOUTH AFRICA,0,"No injury,  shark leapt into boat & bit one of the boat's seats",N,fishing,0
3278,13-Jan-1974,1974,SOUTH AFRICA,M,2 minor lacerations in foot,N,sitting,42
3279,09-Jan-1974,1974,AUSTRALIA,M,"FATAL, right leg severed  ",Y,diving,26
3280,07-Jan-1974,1974,SOUTH AFRICA,M,Knee & calf lacerated,N,swimming,33
3281,07-Jan-1974,1974,MOZAMBIQUE,M,FATAL,Y,swimming,0
3282,07-Jan-1974,1974,MOZAMBIQUE,M,FATAL,Y,swimming,32
3283,Summer 1974,1974,AUSTRALIA,M,8 to 10 puncture marks around knee,N,spearfishing,0
3284,1974,1974,CROATIA,0,FATAL,Y,0,0
3285,25-Dec-1973,1973,MOZAMBIQUE,M,"Right leg severed at knee, abrasion on left ankle",N,spearfishing,41
3286,21-Dec-1973,1973,MOZAMBIQUE,M,FATAL,Y,swimming,20
3287,Reported 18-Dec-1973,1973,PHILIPPINES,M,FATAL,Y,swimming,19
3288,18-Dec-1973,1973,USA,M,Leg bitten,N,swimming,0
3289,Dec-1973,1973,MEXICO,M,FATAL,Y,swimming,20
3290,25-Nov-1973,1973,AUSTRALIA,0,Survived,N,0,0
3291,24-Nov-1973,1973,USA,M,Foot bitten,N,surfing,13
3292,03-Nov-1973,1973,AUSTRALIA,M,Knee lacerated,N,0,0
3293,29-Sep-1973,1973,SOUTH AFRICA,M,"FATAL, thigh bitten ",Y,being,0
3294,14-Sep-1973,1973,BAHAMAS,M,Left hand & forearm lacerated,N,diving,11
3295,Reported 10-Sep-1973,1973,HONG KONG,M,FATAL,Y,swimming,20
3296,09-Sep-1973,1973,MEXICO,M,"FATAL, leg bitten ",Y,diving,37
3297,Sep-1973,1973,EGYPT,M,Massive wound on right thigh with femur exposed,N,0,0
3298,27-Aug-1973,1973,AUSTRALIA,0,0,0,0,21
3299,25-Aug-1973,1973,AUSTRALIA,M,Right foot severed,N,surfing,16
3300,16-Aug-1973,1973,USA,M,Elbow bitten,N,crabbing,17
3301,13-Jun-1973,1973,HONG KONG,M,"One man was killed by a shark, the other was injured",N,swimming,0
3302,04-Apr-1973,1973,MEXICO,M,"FATAL, multiple bites ",Y,wading,45
3303,26-Mar-1973,1973,AUSTRALIA,M,Survived,N,0,0
3304,05-Mar-1973,1973,MOZAMBIQUE,M,FATAL,Y,spearfishing,28
3305,Mar-1973,1973,SOUTH AFRICA,M,Hip bruised,N,spearfishing,26
3306,27-Feb-1973,1973,MEXICO,0,"FATAL, multiple bites ",Y,swimming,57
3307,21-Jan-1973,1973,SOUTH AFRICA,M,Hooked & gaffed shark bit his right elbow PROVOKED INCIDENT,N,fishing,0
3308,09-Jan-1973,1973,USA,M,Leg bitten,N,surfing,0
3309,1973,1973,PALAU,M,"No injury, shark grabbed scuba tank and descended to 110' before releasing him ",N,diving,0
3310,1973,1973,PALAU,M,Hand & right shoulder lacerated,N,diving,0
3311,1973,1973,SOUTH AFRICA,M,"No injury, surboard flung into air & dented",N,surfing,13
3312,31-Dec-1972,1972,SOUTH AFRICA,M,Lower left leg & foot bitten,N,treading,29
3313,26-Dec-1972,1972,MOZAMBIQUE,M,"Hip, leg, arm, hand & shoulder bitten",N,swimming,25
3314,25-Dec-1972,1972,MEXICO,M,"FATAL, hand severed, right leg and torso bitten ",Y,surfing,17
3315,24-Dec-1972,1972,SOUTH AFRICA,M,"No injury, swim fin bitten",N,swimming,0
3316,21-Dec-1972,1972,AUSTRALIA,M,Hand bitten,N,0,0
3317,08-Dec-1972,1972,AUSTRALIA,0,PROVOKED INCIDENT,N,0,24
3318,01-Dec-1972,1972,REUNION,0,FATAL,Y,spearfishing,0
3319,21-Oct-1972,1972,AUSTRALIA,M,Right arm bitten,N,spearfishing,24
3320,21-Oct-1972,1972,AUSTRALIA,M,Lacerations to thigh & buttocks,N,surfing,19
3321,14-Oct-1972,1972,USA,M,"FATAL, body not recovered",Y,diving,0
3322,14-Oct-1972,1972,USA,M,Survived,N,surfing,17
3323,Reported 10-Oct-1972,1972,NEW ZEALAND,M,"No injury, leg of jeans torn off",N,swimming,17
3324,09-Sep-1972,1972,USA,M,Legs & board bitten,N,surfing,0
3325,04-Sep-1972,1972,MOZAMBIQUE,F,Feet injured,0,swimming,20
3326,29-Aug-1972,1972,USA,M,Left calf bitten,N,surfing,15
3327,17-Aug-1972,1972,USA,M,Forearm bitten,N,spearfishing,0
3328,08-Aug-1972,1972,AUSTRALIA,M,Left foot bitten,N,diving,45
3329,05-Jul-1972,1972,USA,0,Sharks reportedly bit legs & fins ,0,diving,0
3330,Reported 26-Jun-1972,1972,AUSTRALIA,M,FATAL,Y,0,0
3331,Reported 26-Jun-1972,1972,AUSTRALIA,M,FATAL,Y,0,0
3332,10-Jun-1972,1972,USA,M,Buttocks bitten,N,surfing,22
3333,28-May-1972,1972,USA,M,Bitten on legs & buttock,N,diving,32
3334,06-May-1972,1972,FRENCH POLYNESIA,M,Thigh bitten,N,spearfishing,27
3335,16-Apr-1972,1972,WESTERN SAMOA,M,FATAL,Y,swimming,25
3336,01-Apr-1972,1972,AUSTRALIA,F,Left leg bitten,N,0,0
3337,01-Apr-1972,1972,MOZAMBIQUE,M,FATAL,Y,swimming,19
3338,21-Mar-1972,1972,PACIFIC OCEAN ,M,Arm bitten by hooked shark PROVOKED INCIDENT,N,fishing,33
3339,16-Mar-1972,1972,USA,M,Leg bitten,N,spearfishing,0
3340,20-Feb-1972,1972,AUSTRALIA,M,Laceration above knee,N,surfing,18
3341,12-Feb-1972,1972,AUSTRALIA,0,Survived,N,0,0
3342,01-Jan-1972,1972,SOUTH AFRICA,M,"FATAL, coroner's Verdict: ""Death presumably through shark attack & drowning""",Y,swimming,20
3343,01-Jan-1971,1972,SOUTH AFRICA,F,Foot bitten,N,sitting,30
3344,01-Jan-1971,1972,MOZAMBIQUE,M,"Leg severed at knee,  hand severed, arms, torso & buttock severely lacerated",N,standing,24
3345,1972,1972,FRANCE,0,Shoulder injured,N,swimming,0
3346,1972,1972,MARSHALL ISLANDS,M,Right hand & torso lacerated,N,diving,0
3347,23-Dec-1971,1971,AUSTRALIA,0,Survived,N,0,22
3348,16-Dec-1971,1971,SOUTH AFRICA,F,Right forearm bitten,N,swimming,16
3349,05-Dec-1971,1971,AUSTRALIA,M,FATAL,Y,0,20
3350,Reported 25-Nov-1971,1971,HONG KONG,M,"Left leg severely bitten, surgically amputated",N,swimming,20
3351,27-Oct-1971,1971,AUSTRALIA,0,PROVOKED INCIDENT,N,0,20
3352,23-Oct-1971,1971,USA,M,"Right shoulder, arm & hand bitten",N,surfing,18
3353,14-Oct-1971,1971,SOUTH AFRICA,M,Wrist & hand lacerated,N,swimming,25
3354,02-Oct-1971,1971,USA,M,Bitten on legs,N,diving,30
3355,25-Sep-1971,1971,USA,0,Left foot injured,N,surfing,17
3356,07-Sep-1971,1971,CROATIA,M,FATAL,Y,swimming,34
3357,05-Sep-1971,1971,AUSTRALIA,M," FATAL. Shark bite was minor injury, but he suffered a heart attack afterwards and died 6 hours later",Y,fishing,51
3358,21-Aug-1971,1971,AUSTRALIA,M,Eight puncture wounds to right leg by captive shark PROVOKED INCIDENT,N,diving,26
3359,26-Jul-1971,1971,USA,M,Laceration to left ankle,N,wading,0
3360,19-Jul-1971,1971,USA,M,"Major injuries to head, buttocks & back",N,diving,0
3361,30-Jun-1971,1971,SOUTH AFRICA,M,Leg & surfboard bitten,N,surfing,21
3362,01-Jun-1971,1971,BRITISH ISLES,M,"No injury, said to have been attacked by shark but drove it away with a lobster hook",N,diving,32
3363,Reported 16-Apr-1971,1971,KENYA,M,Right foot bitten,N,swimming,16
3364,11-Apr-1971,1971,SOUTH AFRICA,M,"FATAL, multiple bites ",Y,swimming,50
3365,6-Apr-1971,1971,MEXICO,M,"FATAL, left thigh bitten ",Y,surfing,19
3366,5-Apr-1971,1971,VENEZUELA,M,"FATAL, body not recovered",Y,0,14
3367,5-Apr-1971,1971,VENEZUELA,M,"FATAL, body not recovered",Y,0,66
3368,Late Apr-1971,1971,MOZAMBIQUE,0,"FATAL, it was  thought  the surviving crew  were taken by sharks",Y,0,0
3369,30-Mar-1971,1971,NEW ZEALAND,M,Lacerations to left leg ,N,surfing,16
3370,02-Jan-1971,1971,AUSTRALIA,M,Torso lacerated,N,swimming,0
3371,1971,1971,AUSTRALIA,M,Severe lacerations to thigh,N,surfing,15
3372,1971,1971,IRAN,M,Survived,N,0,0
3373,1971,1971,IRAN,M,Survived,N,0,0
3374,17-Dec-1970,1970,MOZAMBIQUE,M,"FATAL, arm severed  ",Y,fishing,18
3375,13-Dec-1970,1970,MOZAMBIQUE,M,"FATAL, decapitated and arm severed",Y,fishing,18
3376,07-Dec-1970,1970,MICRONESIA,M,Laceration to thigh,N,fishing,0
3377,03-Dec-1970,1970,USA,M,Right thigh lacerated,N,0,41
3378,Nov-1970,1970,0,M,Extensive injuries,N,0,0
3379,24-Oct-1970,1970,USA,M,Shoulder & arm bitten,N,surfing,0
3380,Oct-1970,1970,USA,M,Bitten on right leg above the ankle,N,surfing,0
3381,28-Sep-1970,1970,MICRONESIA,M,Lacerations & punctures to right arm & shoulder ,N,diving,43
3382,13-Sep-1970,1970,PALAU,M,"Another diver shot shark, shark bit his left foream  PROVOKED INCIDENT",N,spearfishing,20
3383,05-Sep-1970,1970,USA,M,Laceration to left foot,N,floating,18
3384,02-Sep-1970,1970,AUSTRALIA,M,PROVOKED INCIDENT,N,0,20
3385,Sep-1970,1970,USA,M,Foot lacerated,N,swimming,0
3386,Sep-1970,1970,USA,M,Calf / knee injured?,N,diving,0
3387,02-Aug-1970,1970,0,0,"Sharks scavenged on bodies, but no record of them injuring survivors ",0,sinking,0
3388,5-Jul-1970,1970,0,M,Finger or toe severed,N,0,0
3389,22-Jun-1970,1970,USA,M,Bitten on calf by hooked shark PROVOKED INCIDENT,N,fishing,13
3390,15-Jun-1970,1970,SOUTH AFRICA,M,2 cm laceration on knee PROVOKED INCIDENT,N,diving,25
3391,13-Jun-1970,1970,GRENADA,M,"FATAL, multiple injuries to both legs  ",Y,wading,16
3392,13-Jun-1970,1970,GRENADA,M,"FATAL, body not recovered",Y,wading,18
3393,Jun-1970,1970,PHILIPPINES,0,"2 people survived, 6 drowned & the others were killed by sharks",Y,0,0
3394,4-Apr-1970,1970,GRENADA,M,"FATAL, body not recovered",Y,swimming,14
3395,Apr-1970,1970,0,M,Arm abraded & lacerated. Recorded as PROVOKED INCIDENT,N,freediving,0
3396,Apr-1970,1970,SOLOMON ISLANDS,M,No details,0,swimming,0
3397,31-Mar-1970,1970,USA,M,"Swept out to sea,  5.5 m [18'] shark seen in the vicinity, body not recovered. ",0,surfing,0
3398,23-Mar-1970,1970,USA,M,Foot & calf lacerated,N,wading,19
3399,5-Feb-1970,1970,0,F,Lacerations to lower leg,N,wading,0
3400,23-Jan-1970,1970,MOZAMBIQUE,M,"Hands severed, forearm severely lacerated",N,swimming,14
3401,23-Jan-1970,1970,MOZAMBIQUE,M,Leg severed at knee,N,swimming,16
3402,23-Jan-1970,1970,MOZAMBIQUE,M,"Arm severed, thigh bitten",N,swimming,12
3403,23-Jan-1970,1970,MOZAMBIQUE,M,Leg severed at knee,N,swimming,10
3404,    16-Jan-1970,1970,EGYPT,M,FATAL,Y,0,0
3405,10-Jan-1970,1970,MEXICO,M,Leg bitten,N,swimming,22
3406,Reported 09-Jan-1970,1970,ENGLAND,M,Leg bitten,N,0,0
3407, Jan-1970,1970,PAPUA NEW GUINEA,M,Lacerations to back,N,freediving,15
3408,1970s,1970,SRI LANKA,M,Swim fins badly torn by the shark's teeth,N,spearfishing,0
3409,Late 1970s,1970,SPAIN,M,Minor injury,N,spearfishing,0
3410,Ca. 1970,1970,ITALY,M,No injury,N,fishing,0
3411,1970,1970,CROATIA,M,No details,0,spearfishing,0
3412,1970s,1970,IRAQ,F,Left hand severed,N,washing,28
3413,1970s,1970,IRAQ,F,Left foot severed,N,washing,25
3414,1970s,1970,IRAQ,M,"FATAL, left leg severed",Y,swimming,35
3415,1970s,1970,IRAQ,M,Left hand bitten,N,fishing,35
3416,30-Nov-1969,1969,AUSTRALIA,M,Left thigh lacerated,N,swimming,15
3417,11-Nov-1969,1969,USA,M,"Abrasions on upper leg, laceration on ankle, scuba tank bitten",N,diving,0
3418,05-Nov-1969,1969,AUSTRALIA,M,PROVOKED INCIDENT,N,0,27
3419,14-Oct-1969,1969,USA,M,No injury,N,diving,0
3420,06-Sep-1969,1969,USA,M,Leg & ankle severely bitten,N,diving,53
3421,29-Aug-1969,1969,USA,M,Laceration to right leg,N,floating,0
3422,22-Aug-1969,1969,USA,M,Leg bitten by netted shark PROVOKED INCIDENT,N,fishing,28
3423,02-Aug-1969,1969,USA,M,Lacerations to lower leg,N,surfing,15
3424,02-Aug-1969,1969,USA,M,Lacerations to right lower leg & left arm and hand,N,surfing,13
3425,Aug-1969,1969,0,M,Am lacerated,N,0,25
3426,27-Jul-1969,1969,ENGLAND,M,Arm lacerated. Recorded as PROVOKED INCIDENT,N,0,0
3427,22-Jul-1969,1969,USA,M,Scrape on head. Recorded as PROVOKED INCIDENT,N,0,13
3428,20-Jul-1969,1969,USA,M,"Foot bitten, minor injury",N,freediving,0
3429,27-Jun-1969,1969,USA,M,No details,0,wading,22
3430,12-Jun-1969,1969,JAMAICA,M,Multiple lacerations,N,diving,27
3431,Jun-1969,1969,USA,M,No injury,N,wading,0
3432,25-May-1969,1969,USA,M,Foot lacerated when he stepped on the shark  PROVOKED INCIDENT,N,fishing,0
3433,24-May-1969,1969,USA,M,Laceration to buttocks Recorded as PROVOKED INCIDENT,N,diving,23
3434,22-May-1969,1969,DOMINICAN REPUBLIC,M,0,0,surfing,18
3435,14-May-1969,1969,AUSTRALIA,0,Survived,N,0,0
3436,22-Apr-1969,1969,AUSTRALIA,M,No injury,0,netting,0
3437,19-Aug-1969,1969,USA,M,Laceration to foot from dead shark PROVOKED INCIDENT,N,fishing,0
3438,25-Mar-1969,1969,AUSTRALIA,M,Foot lacerated. Recorded as PROVOKED INCIDENT,N,0,65
3439,09-Mar-1969,1969,USA,M,Leg & surfboard bitten,N,surfing,16
3440,Reported 17-Feb-1969,1969,AUSTRALIA,M,Lacerations to hand from hooked shark PROVOKED INCIDENT,N,fishing,49
3441,Feb-1969,1969,AUSTRALIA,M,No details,0,diving,52
3442,27-Jan-1969,1969,AUSTRALIA,M,Abrasions and lacerations to lower right leg,N,freediving,21
3443,Jan-1969,1969,AUSTRALIA,M,Minor injury ,N,0,0
3444,Winter 1969,1969,BAHAMAS,0,"No injury to occupants, shark grabbed prop, Leodorn hit shark with oar, shark bit oar in half PROVOKED INCIDENT",N,seeing,0
3445,29-Dec-1968,1968,SOUTH AFRICA,M,No injury,0,freediving,0
3446,26-Dec-1968,1968,AUSTRALIA,M,Laceration to finger by a captive shark PROVOKED INCIDENT,N,feeding,27
3447,25-Dec-1968,1968,NEW ZEALAND,M,"Hit in face by shark, arm abraded, surfboard bitten",N,surfing,17
3448,09-Dec-1968,1968,AUSTRALIA,M,Survived,N,0,0
3449,02-Dec-1968,1968,SOUTH AFRICA,M,"No injury, left elbow & torso bumped by sharks",N,spearfishing,28
3450,Dec-1968,1968,SOUTH AFRICA,M,No injury,0,0,30
3451,06-Nov-1968,1968,SOUTH AFRICA,M,"Shark leapt into boat, landed on Hlope's back, then bit his left forearm",N,fishing,22
3452,04-Nov-1968,1968,PAPUA NEW GUINEA,0,Remains recovered days later from shark,0,king,0
3453,02-Nov-1968,1968,AUSTRALIA,M,Abrasion on shoulder Recorded as PROVOKED INCIDENT,N,0,16
3454,29-Oct-1968,1968,BAHAMAS,M,Calf injured Recorded as PROVOKED INCIDENT,N,0,0
3455,13-Oct-1968,1968,USA,M,Swim fin bitten,N,spearfishing,0
3456,10-Oct-1968,1968,PHILIPPINES,0,Survived,N,sinking,0
3457,22-Sep-1968,1968,USA,0,0,0,surfing,0
3458,15-Sep-1968,1968,NEW ZEALAND,M,"FATAL, left leg bitten, femoral artery severed  ",Y,spearfishing,24
3459,24-Aug-1968,1968,USA,0,"Shark bumped Colleen, the nudged Scott, then bit Frisbee & swam away with it",N,playing,12
3460,21-Aug-1968,1968,USA,M,Leg & arm bitten,N,standing,15
3461,13-Aug-1968,1968,FRENCH POLYNESIA,M,Finger severed,N,swimming,12
3462,11-Aug-1968,1968,MALAYSIA,0,Hand lacerated,N,leaving,41
3463,08-Aug-1968,1968,COLUMBIA,M,Lacerations to head,N,fishing,18
3464,27-Jul-1968,1968,USA,M,Major injury to torso,N,diving,25
3465,23-Jul-1968,1968,USA,M,Abrasions on lower leg,N,wading,33
3466,16-Jul-1968,1968,USA,M,Swimfin & knee bitten,N,spearfishing,33
3467,10-Jul-1968,1968,BAHAMAS,M,"FATAL, taken by shark  ",Y,swimming,0
3468,Jul-1968,1968,MEXICO,M,No injury,0,0,43
3469,25-Jun-1968,1968,BAHAMAS,M,"Bumped shoulder, bit head",N,spearfishing,17
3470,09-Jun-1968,1968,USA,M,Lacerations to lower right leg & andkle,N,clamming,17
3471,Jun-1968,1968,ENGLAND,M,Arm severely lacerated,N,0,0
3472,18-May-1968,1968,TANZANIA,0,"6 people rescued, 3 shark-scavenged bodies recovered, 14 people lost ",0,during,0
3473,May-1968,1968,PAPUA NEW GUINEA,M,Lower leg severely lacerated,N,standing,17
3474,29-Apr-1968,1968,USA,M,Foot severely injured,0,wading,63
3475,20-Apr-1968,1968,USA,M,"Buttock, both legs & arm bitten",N,0,10
3476,15-Apr-1968,1968,AUSTRALIA,M,Hand lacerated,N,diving,21
3477,Reported 11-Apr-1968,1968,PAPUA NEW GUINEA,M,FATAL Laceration to chest,Y,swimming,0
3478,07-Apr-1968,1968,AUSTRALIA,M,Foot lacerated Recorded as PROVOKED INCIDENT,N,0,47
3479,25-Mar-1968,1968,SOUTH AFRICA,M,Left thigh lacerated,N,wading,35
3480,10-Mar-1968,1968,USA,M,Foot lacerated,N,surfing,20
3481,Mar-1968,1968,USA,M,No injury,0,treading,28
3482,26-Feb-1968,1968,USA,M,Foot lacerated,N,surfing,17
3483,20-Feb-1968,1968,AUSTRALIA,F,Thigh lacerated,N,swimming,14
3484,18-Feb-1968,1968,NEW ZEALAND,F,Wrist bitten PROVOKED INCIDENT,N,picking,0
3485,04-Feb-1968,1968,AUSTRALIA,M,"No injury, speargun bitten",N,spearfishing,26
3486,02-Feb-1968,1968,AUSTRALIA,0,Survived,N,0,0
3487,Feb-1968,1968,MOZAMBIQUE,0,No injury,N,diving,24
3488,17-Jan-1968,1968,PAPUA NEW GUINEA,0,FATAL,Y,swimming,13
3489,1968,1968,COSTA RICA,M,FATAL,Y,swimming,0
3490,1968,1968,USA,0,"Recovered, said to involve a 1m nurse shark",0,diving,0
3491,1968,1968,USA,0,0,0,surfing,0
3492,30-Dec-1967,1967,SOUTH AFRICA,M,Right ankle & foot bitten,N,surfing,22
3493,Reported 21-Dec-1967,1967,PAPUA NEW GUINEA,M,No injury,0,spearfishing,32
3494,18-Dec-1967,1967,FIJI,M,Arm lacerated,N,0,27
3495,17-Dec-1967,1967,AUSTRALIA,M,"FATAL, presumed taken by a shark, body not recovered",Y,swimming,59
3496,14-Dec-1967,1967,USA,M,"Head, shoulder, arm lacerated. Recorded as PROVOKED INCIDENT",N,0,0
3497,30-Nov-1967,1967,AUSTRALIA,M,Recorded as PROVOKED INCIDENT,N,freediving,15
3498,30-Nov-1967,1967,AUSTRALIA,M,Arm lacerated,N,0,18
3499,15-Nov-1967,1967,FIJI,M,Hand lacerated by speared shark PROVOKED INCIDENT,N,freediving,21
3500,04-Nov-1967,1967,PHILIPPINES,0,Passengers taken by sharks,Y,sinking,0
3501,Nov-1967,1967,SOUTH AFRICA,F,"Bones and brightly colored bangles recovered  3.35 m, 145.5-kg tiger sharks gut ",0,0,0
3502,Reported 26-Oct-1967,1967,MEXICO,0,FATAL,Y,swimming,0
3503,17-Oct-1967,1967,USA,M,Left foot bitten,N,standing,19
3504,Oct-1967,1967,TONGA,M,Arm & leg bitten,N,swimming,17
3505,20-Sep-1967,1967,USA,M,Remains found in a 3.4 m (11') tiger shark. Probable drowning & scavenging,0,0,0
3506,13-Sep-1967,1967,ITALY,M,"Diver shot the shark, then it injured his arm and broke his leg with its tail.  PROVOKED INCIDENT",0,diving,21
3507,07-Sep-1967,1967,PAPUA NEW GUINEA,0,"No details, listed as PROVOKED INCIDENT",0,diving,0
3508,07-Sep-1967,1967,USA,0,Survived,N,spearfishing,0
3509,06-Sep-1967,1967,PAPUA NEW GUINEA,M,FATAL,Y,spearfishing,0
3510,01-Sep-1967,1967,PAPUA NEW GUINEA,M,FATAL,Y,spearfishing,23
3511,27-Aug-1967,1967,USA,M,Nipped on shoulder by captive shark PROVOKED INCIDENT,N,pulling,24
3512,26-Aug-1967,1967,JAPAN,M,FATAL,Y,0,19
3513,25-Aug-1967,1967,ITALY,M,Minor injuries to face & forearm,N,spearfishing,0
3514,19-Aug-1967,1967,AUSTRALIA,M,"FATAL, ""bitten in two""",Y,spearfishing,23
3515,15-Aug-1967,1967,BERMUDA,F,Right foot abraded & lacerated,N,floating,19
3516,Reported 14-Aug-1967,1967,COLUMBIA,M,3 fingers were bitten by a shark,N,0,0
3517,10-Aug-1967,1967,AUSTRALIA,M,"Disappeared, no trace of men or equipment, shark attack considered",0,diving,19
3518,07-Aug-1967,1967,USA,M,Shark grasped thigh,N,spearfishing,15
3519,Aug-1967,1967,BAHAMAS,M,"No injury, shark struck camera",N,photographing,41
3520,Aug-1967,1967,SENEGAL,M,Ankle bitten,N,netting,0
3521,29-Jul-1967,1967,USA,M,Foot lacerated,N,snorkeling,20
3522,05-Jul-1967,1967,TURKEY,M,FATAL,Y,spearfishing,36
3523,Jul-1967,1967,USA,M,Incident not confirmed,0,surfing,18
3524,13-Jun-1967,1967,USA,M,"After shark was speared & hit on head, it bit the divers foot  PROVOKED INCIDENT",N,spearfishing,26
3525,Jun-1967,1967,ITALY,M,"No injury to occupants,  harpooned shark sank boat PROVOKED INCIDENT",N,fishing,0
3526,13 or 30-May-1967,1967,AUSTRALIA,M,Thigh abraded & lacerated Recorded as PROVOKED INCIDENT,N,0,30
3527,09-May-1967,1967,AUSTRALIA,M,Recorded as PROVOKED INCIDENT,N,feeding,22
3528,Apr-1967,1967,UNITED KINGDOM,M,Tooth knocked out by hooked shark PROVOKED INCIDENT,N,fishing,60
3529,20-Mar-1967,1967,NEW ZEALAND,M,Abrasions to lower leg Recorded as PROVOKED INCIDENT,N,freediving,21
3530,19-Mar-1967,1967,SOUTH AFRICA,M,"Punctures in right buttock & thigh, abrasion on right forearm",N,spearfishing,32
3531,12-Mar-1967,1967,AUSTRALIA,M,Speared shark lacerated his arm PROVOKED INCIDENT,N,spearfishing,36
3532,10-Mar-1967,1967,AUSTRALIA,0,"Fatal or scavenging by ""a pack of sharks""",0,0,0
3533,09-Mar-1967,1967,NEW ZEALAND,M,"FATAL, seen taken by a shark ",Y,lifesaving,21
3534,01-Mar-1967,1967,PAPUA NEW GUINEA,M,Leg bitten,N,0,14
3535,06-Feb-1967,1967,MEXICO,M,FATAL,Y,swimming,0
3536,27-Jan-1967,1967,SOUTH AFRICA,0,"Holed & sank boat, 1 man flung into water but ignored by the shark",N,fishing,0
3537,22-Jan-1967,1967,SOUTH AFRICA,M,"No injury, shark bit support boat, removing pieces of wood after Gerricke shot it  PROVOKED INCIDENT",N,spearfishing,0
3538,21-Jan-1967,1967,MOZAMBIQUE,M,Right leg severely lacerated,N,swimming,31
3539,06-Jan-1967,1967,AUSTRALIA,M,Foot bitten when he kicked shark PROVOKED INCIDENT,N,splashing,15
3540,31-Dec-1966,1966,AUSTRALIA,M,"6"" laceration to left forearm ",N,fishing,30
3541,27-Dec-1966,1966,AUSTRALIA,M,The shark bit the diver's leg after he shot it  PROVOKED INCIDENT,N,spearfishing,29
3542,27-Dec-1966,1966,AUSTRALIA,M,Right hand lacerated,N,spearfishing,19
